snapshot_date,symbol,gics_sector,sector,momentum_252,volatility_252,risk_adjusted_momentum_252,volume_60d_avg,var_95,atr_pct,atr_14,z_momentum,z_liquidity,z_risk,composite_score,composite_rank
2021-05-31,AMD,Information Technology,Information Technology,-0.062404889386736384,0.0880542580035286,-0.7087095025459829,3803505126.425934,-0.035686189570757365,2.5884702997986944,2.072847063475101,-1.080544921716606,0.4100733981962183,0.12689873670987034,-0.5916920207326941,129
2021-05-31,AME,Industrials,Industrials,0.003044209144611454,0.059138430836083805,0.051475987806460434,132769456.08170827,-0.015691585043775658,1.436638098024728,1.8788269569437281,-0.21333493185076963,-0.601619915381477,-0.698012053107403,-0.10872253156527656,81
2021-05-31,AMG,Financials,Financials,0.03744506631856481,0.11301181521561679,0.33133762383271925,56474356.27403259,-0.026197622783482432,2.623176435415763,4.297008843948848,-0.9467757989138388,-0.6676752999539072,0.723470590533589,-0.8462946574458025,142
2021-05-31,AMGN,Health Care,Health Care,-0.06225337705026135,0.0942234678785464,-0.6606992764319146,649117255.1335653,-0.022569985855698207,2.0500432659973895,4.198725782652467,-0.896687262000155,-0.27550814237266624,0.460787953988153,-0.6852715764722569,136
2021-05-31,AMZN,Consumer Discretionary,Consumer Discretionary,-0.05454088411099445,0.0664663172456157,-0.820579300481585,13519120997.023264,-0.02351285419050543,1.7004388044811678,2.7403167069000256,-1.6634681946959988,3.3924657862637093,-0.7203777689941349,-0.17551220576603033,88
2021-05-31,ANTO.L,Materials,Materials,-0.15713539016490052,0.11805840667395784,-1.3309970428354303,3725362586.235769,-0.04306883588638014,4.157277507945379,66.68655762788454,-1.9994734563949483,-0.024616987402881135,0.8001272997178009,-1.3646329312611054,153
2021-05-31,AVGO,Information Technology,Information Technology,0.001017157825310644,0.09087134043580128,0.011193384189476602,706472232.5514158,-0.0355712631285904,2.2049754026294774,0.9422664757215262,0.3533349467706352,-0.5288139149017836,0.1174817053066368,0.08274184402069701,66
2021-05-31,AZN.L,Health Care,Health Care,0.056706513381608925,0.061772857576902464,0.9179842993504659,19554810044.33797,-0.011200841420526,2.972350856555681,236.26219885988428,1.1784681365954826,3.491273627415391,-0.7928574427501208,1.563907095990392,5
2021-05-31,BA.L,Industrials,Industrials,0.060405558604672116,0.05242188507528871,1.1522965745683735,3789186099.9229507,-0.011786394799897973,1.7128611206975077,9.040016607279108,1.2733242201235242,1.417133648127794,-1.1471576830597576,1.276852798311625,8
2021-05-31,BAC,Financials,Financials,0.07561543571508667,0.053842150943061384,1.4043910651907414,1499804606.6130955,-0.014154452022958227,1.8986666667390466,0.7127952636990478,0.43000622937552385,-0.24938889721142407,-0.5265910013937293,0.3134441584617753,49
2021-05-31,BARC.L,Financials,Financials,-0.0026870586634908378,0.10678109374932604,-0.025164179997995174,8976193211.158953,-0.02955029136838635,2.2327561261375117,4.136275776611512,-1.4041857075440136,1.9173166742721157,1.0714721518987518,-0.6733425200517353,135
2021-05-31,BATS.L,Consumer Staples,Consumer Staples,0.0031408624328150836,0.0610936389483596,0.05141062943508651,12681522743.680857,-0.020186833422294007,1.5753475596342597,42.60849390535595,-1.0250531676027774,1.562114762154599,1.3841690587157056,-0.5794427598738878,127
2021-05-31,BAYN.DE,Health Care,Health Care,-0.015493412042300925,0.10355943522085446,-0.14960888893666843,169712762.1400207,-0.021961863374016437,2.3450043526248137,1.111816296879438,-0.2248667698819184,-0.3710249861454441,0.39373190116372964,-0.2878714393909858,97
2021-05-31,BIIB,Health Care,Health Care,-0.007347957142201933,0.06484460328484505,-0.11331640213641707,262957671.406428,-0.019214079579353022,2.47067135625577,6.608552015148995,-0.17716085143991625,-0.35244681351424556,0.09074107146198353,-0.19493408785919558,89
