"id","symbol","price_date","open_price","high_price","low_price","close_price","volume"
1474676,"URTH","2023-07-07","117.9742","119.0708","117.8684","118.1858","47700"
1474647,"URTH","2023-07-06","118.1474","118.1955","117.3682","118.0896","234000"
1474618,"URTH","2023-07-05","119.3112","119.5998","119.2343","119.4267","341800"
1474585,"URTH","2023-07-03","119.8210","120.0807","119.7345","120.0423","135600"
1474556,"URTH","2023-06-30","119.3497","120.0230","119.3497","119.7729","117200"
1474527,"URTH","2023-06-29","118.0127","118.4840","117.8299","118.4840","47800"
1474498,"URTH","2023-06-28","117.7626","118.3975","117.7241","118.1377","333200"
1474469,"URTH","2023-06-27","117.0893","118.2435","117.0027","118.1185","113100"
1474440,"URTH","2023-06-26","117.1085","117.5125","116.7719","116.9065","155800"
1474411,"URTH","2023-06-23","117.0797","117.5510","116.9258","117.1470","129900"
1474382,"URTH","2023-06-22","117.7049","118.3301","117.6183","118.2051","182900"
1474353,"URTH","2023-06-21","118.3397","118.7149","117.9839","118.2243","277100"
1474324,"URTH","2023-06-20","118.8976","118.9265","118.2051","118.5417","558000"
1474291,"URTH","2023-06-16","120.4847","120.5521","119.5036","119.5517","140500"
1474262,"URTH","2023-06-15","118.4167","120.2250","118.3205","119.9461","308300"
1474233,"URTH","2023-06-14","118.6283","119.0034","117.6279","118.4840","49900"
1474204,"URTH","2023-06-13","117.9838","118.4071","117.8973","118.2628","106900"
1474175,"URTH","2023-06-12","116.7815","117.3875","116.6084","117.3779","50700"
1474146,"URTH","2023-06-09","116.5795","116.9450","116.2332","116.4737","102600"
1474117,"URTH","2023-06-08","115.7619","116.4352","115.5310","116.3390","111000"
1474088,"URTH","2023-06-07","116.1755","116.4833","115.4541","115.5792","126600"
1474059,"URTH","2023-06-06","115.5566","116.3187","115.4994","116.2044","124200"
1474030,"URTH","2023-06-05","116.0234","116.2615","115.5470","115.7090","92500"
1474001,"URTH","2023-06-02","115.3946","116.1948","115.2708","116.0615","120700"
1473972,"URTH","2023-06-01","113.3369","114.6420","113.0892","114.3467","144300"
1473943,"URTH","2023-05-31","113.2607","113.4322","112.5557","112.9844","411100"
1473914,"URTH","2023-05-30","114.4610","114.5944","113.5655","113.8608","132400"
1473884,"URTH","2023-05-26","113.1940","114.3658","113.0797","114.2324","97900"
1473855,"URTH","2023-05-25","112.8701","113.0511","112.3366","112.8034","118100"
1473826,"URTH","2023-05-24","112.7367","112.8510","112.0699","112.3271","126800"
1473797,"URTH","2023-05-23","114.1943","114.4229","113.3083","113.3940","94500"
1473768,"URTH","2023-05-22","114.6515","115.1279","114.4991","114.7659","49300"
1473739,"URTH","2023-05-19","114.8992","115.0993","114.4324","114.6897","69100"
1473710,"URTH","2023-05-18","113.8418","114.7182","113.7179","114.6325","97600"
1473681,"URTH","2023-05-17","113.2702","114.0704","112.8606","113.8989","125700"
1473652,"URTH","2023-05-16","113.3940","113.5941","112.8225","112.8225","66600"
1473623,"URTH","2023-05-15","113.4417","113.9085","113.0797","113.8037","262900"
1473594,"URTH","2023-05-12","113.5750","113.6703","112.5652","113.1273","67300"
1473565,"URTH","2023-05-11","113.1749","113.3369","112.6795","113.2892","98100"
1473536,"URTH","2023-05-10","113.9847","114.0418","112.7558","113.5560","64400"
1473507,"URTH","2023-05-09","113.1178","113.5274","113.0892","113.2797","71200"
1473481,"URTH","2023-05-08","113.8037","113.8608","113.4798","113.7465","57400"
1473452,"URTH","2023-05-05","112.7177","113.9275","112.7177","113.6989","73500"
1473423,"URTH","2023-05-04","112.0699","112.1842","111.4602","111.7364","80100"
1473394,"URTH","2023-05-03","112.9177","113.8227","112.2699","112.2794","49600"
1473365,"URTH","2023-05-02","113.6417","113.6513","111.9936","112.7653","198500"
1473336,"URTH","2023-04-28","113.0606","114.1181","113.0606","114.1181","163300"
1473307,"URTH","2023-04-27","112.2985","113.5655","112.1651","113.5369","81100"
1473278,"URTH","2023-04-26","112.2890","112.4319","111.4411","111.5650","266000"
1473249,"URTH","2023-04-25","113.2511","113.2511","111.9174","111.9270","103500"
1473220,"URTH","2023-04-24","113.5846","113.7656","113.2416","113.7084","311900"
1473191,"URTH","2023-04-21","113.4893","113.5846","112.9749","113.5750","95100"
1473162,"URTH","2023-04-20","113.0797","113.7846","112.9749","113.3369","60400"
1473133,"URTH","2023-04-19","113.4226","113.9752","113.4131","113.7846","119000"
1473104,"URTH","2023-04-18","114.2419","114.2514","113.6513","113.9561","183800"
1473075,"URTH","2023-04-17","113.4036","113.6798","113.0035","113.6608","125700"
1473046,"URTH","2023-04-14","113.6703","114.1371","112.9463","113.4988","62400"
1473017,"URTH","2023-04-13","112.8796","113.8704","112.7558","113.7656","68100"
1472988,"URTH","2023-04-12","113.2035","113.2797","112.1651","112.2604","132600"
1472959,"URTH","2023-04-11","112.3652","112.7272","112.2128","112.3557","75100"
1472930,"URTH","2023-04-06","111.5840","112.2413","111.2792","112.1080","46500"
1472901,"URTH","2023-04-05","111.9365","112.0508","111.3268","111.7079","155000"
1472872,"URTH","2023-04-04","112.8415","112.9463","111.8888","112.1937","122300"
1472843,"URTH","2023-04-03","112.1556","112.6700","111.9270","112.6224","155400"
1472814,"URTH","2023-03-31","111.0315","112.1270","111.0315","112.0984","242400"
1472785,"URTH","2023-03-30","110.7743","110.9267","110.3551","110.7457","198300"
1472756,"URTH","2023-03-29","109.6597","109.9931","109.2691","109.9454","330700"
1472727,"URTH","2023-03-28","108.4688","108.6308","108.0116","108.4784","243700"
1472698,"URTH","2023-03-27","108.6308","108.9642","108.2116","108.5641","134300"
1472669,"URTH","2023-03-24","107.1637","108.0783","106.6683","108.0497","98800"
1472640,"URTH","2023-03-23","108.2974","109.3072","107.0970","107.7353","140200"
1472611,"URTH","2023-03-22","108.9356","109.7454","107.5543","107.5638","235200"
1472582,"URTH","2023-03-21","108.6498","109.0881","108.1735","108.9737","117400"
1472553,"URTH","2023-03-20","106.6874","107.6210","106.6112","107.4400","205500"
1472524,"URTH","2023-03-17","107.0303","107.2304","105.9157","106.2777","146200"
1472495,"URTH","2023-03-16","105.1250","107.5638","105.0107","107.5448","239900"
1472466,"URTH","2023-03-15","105.0488","105.8109","104.2962","105.7824","591400"
