snapshot_date,symbol,gics_sector,sector,momentum_252,volatility_252,risk_adjusted_momentum_252,volume_60d_avg,var_95,atr_pct,atr_14,z_momentum,z_liquidity,z_risk,composite_score,composite_rank,history_rows,selection_score,selection_rank,weight,weighting_method,rebalance_date,signal_date
2022-08-31,GM,Consumer Discretionary,Consumer Discretionary,0.07155098281971362,0.1092041056416985,0.655204146394223,509562130.8572292,-0.02935067600342354,3.4758379480360273,1.2813022170928576,1.4312676002112443,-0.3249348481902366,-0.27847442988607324,0.849468476465914,16,342,0.849468476465914,16,0.03333333333333333,equal_weight,2022-08-31,2022-08-31
2022-08-31,ORA.PA,Communication Services,Communication Services,0.01410423104323022,0.043741994712536675,0.3224414235317869,41959907.02542011,-0.012839979469034311,1.6076515634654498,0.1306654617065336,1.1043278211139615,-0.7234584410182124,-1.6392627835945701,0.8457575611836485,17,351,0.8457575611836485,17,0.03333333333333333,equal_weight,2022-08-31,2022-08-31
2022-08-31,AMZN,Consumer Discretionary,Consumer Discretionary,0.03671898845757693,0.14469635556662974,0.2537658140302544,7541662161.441962,-0.03612718397522317,3.3975339219395733,4.3070536387898395,0.7231137687504201,2.6051476985399606,0.5505788337150351,0.8447820342152372,18,342,0.8447820342152372,18,0.03333333333333333,equal_weight,2022-08-31,2022-08-31
2022-08-31,MO,Consumer Staples,Consumer Staples,0.02545445837905902,0.03282381737226617,0.775487448347987,212803133.89781317,-0.010585218483404164,1.2996273740075726,0.43523174446577734,1.1424086545814678,-0.5620650006517142,-1.068462547809792,0.7867247021804962,19,342,0.7867247021804962,19,0.03333333333333333,equal_weight,2022-08-31,2022-08-31
2022-08-31,AEP,Utilities,Utilities,0.034491582841192026,0.0489549355025971,0.7045578241924599,206656474.96938705,-0.015153124780743935,1.742491342597582,1.5311077811347265,1.3028134965321274,-0.45091005636951936,-0.40788579480439674,0.7730832456062519,20,342,0.7730832456062519,20,0.03333333333333333,equal_weight,2022-08-31,2022-08-31
2022-08-31,CMI,Industrials,Industrials,0.007707089863068228,0.06521295350766432,0.1181834198348712,164597040.85852304,-0.01819074415503839,2.010655663350222,3.993441152885381,1.079396862718693,-0.5305395049833508,-1.0486303377988493,0.7512562841943153,21,342,0.7512562841943153,21,0.03333333333333333,equal_weight,2022-08-31,2022-08-31
2022-08-31,GLEN.L,Materials,Materials,-0.015922567468500404,0.11821881042301831,-0.1346872584111211,21438380144.16756,-0.030087821973575762,3.880787916387422,17.128329066189117,0.16900576063596257,2.55357914534091,-0.6775936927781997,0.7476380240053995,22,342,0.7476380240053995,22,0.03333333333333333,equal_weight,2022-08-31,2022-08-31
2022-08-31,MPC,Energy,Energy,0.13141795286486158,0.09178608390599889,1.4317851603675669,404335320.0249036,-0.026449063552070724,2.9146919052892457,2.7200814278190237,1.2254556522795124,-0.44345493382062073,-0.3315436668389255,0.7128911379713684,23,341,0.7128911379713684,23,0.03333333333333333,equal_weight,2022-08-31,2022-08-31
2022-08-31,JCI,Industrials,Industrials,0.02537879579915181,0.08915266888166534,0.2846666972229148,189162827.6646773,-0.032595187186039216,2.595076232421378,1.3107179206065893,1.37860922964455,-0.5172054520263516,0.1556783747664969,0.6925887724281603,24,342,0.6925887724281603,24,0.03333333333333333,equal_weight,2022-08-31,2022-08-31
2022-08-31,CSCO,Information Technology,Information Technology,-0.019728153300097695,0.0817030583814644,-0.2414616256834436,788231574.0098,-0.019850679884218406,2.1493278771557818,0.8630642226420269,0.8193797043816925,-0.533464474084013,-1.5080155153716768,0.6865380308865483,25,341,0.6865380308865483,25,0.03333333333333333,equal_weight,2022-08-31,2022-08-31
2022-08-31,BATS.L,Consumer Staples,Consumer Staples,0.021645774686642083,0.06819706699858943,0.3174003756948931,9942293518.63743,-0.017666210397254828,1.7116277183703257,58.80382273544884,0.6557292193507687,1.468703969541029,0.04836972346674154,0.6775043808253187,26,342,0.6775043808253187,26,0.03333333333333333,equal_weight,2022-08-31,2022-08-31
2022-08-31,DIS,Communication Services,Communication Services,0.0684460956214834,0.10791814232202054,0.6342408620901276,1431023048.3121872,-0.028441005212645185,2.6628051051234527,2.915806329770289,1.4596889288243935,-0.21151380785723586,0.8075110136557381,0.6720083929920413,27,342,0.6720083929920413,27,0.03333333333333333,equal_weight,2022-08-31,2022-08-31
2022-08-31,ROST,Consumer Discretionary,Consumer Discretionary,0.05982791319657621,0.10558316173043489,0.5666425613330587,216554086.60872778,-0.0321921971366424,3.1764221811565276,2.6305119394043968,1.2750412991203817,-0.4470232361213016,0.06916367205229035,0.6617873978375106,28,342,0.6617873978375106,28,0.03333333333333333,equal_weight,2022-08-31,2022-08-31
2022-08-31,MS,Financials,Financials,0.027366011686524416,0.07002160573171683,0.39082239546712894,522828366.1740303,-0.01877292583409486,2.2233718397467137,1.686302489352281,1.024956414393309,-0.49912870643753315,-0.6158804896385789,0.6383242052761945,29,342,0.6383242052761945,29,0.03333333333333333,equal_weight,2022-08-31,2022-08-31
2022-08-31,FRT,Real Estate,Real Estate,-0.03312960994248326,0.06171191638666841,-0.5368429937405125,52705365.149847664,-0.023778655635932292,2.012149843991443,1.7315452688924695,0.850016092468459,-0.523116149208091,-0.9913511263563854,0.6036566509107343,30,341,0.6036566509107343,30,0.03333333333333333,equal_weight,2022-08-31,2022-08-31
