symbol,gics_sector,sector,composite_score,sector_rank,momentum_252,volatility_252,risk_adjusted_momentum_252,volume_60d_avg,var_95,atr_pct,atr_14,history_rows,selection_score,selection_rank,weight,weighting_method
GLEN.L,Materials,Materials,1.7003161978798358,1.0,1.0603356291504586,0.31563914122310477,3.3593287101265314,22028445057.390446,-0.02392153058620225,2.303577659778038,12.70423079367588,1258,1.7003161978798358,11,0.03333333333333333,equal_weight
FTI,Energy,Energy,1.6871650424937985,1.0,1.7325061906745178,0.30347671601594706,5.708860348230071,265223053.66475093,-0.028210939901086956,2.971157397399396,2.2215342862957477,1254,1.6871650424937985,12,0.03333333333333333,equal_weight
GOOG,Communication Services,Communication Services,1.6694228946181904,2.0,1.1695479838113192,0.27607045221964116,4.236411301564533,6450035387.563631,-0.02298269465613092,2.185840603448932,7.630987810509072,1254,1.6694228946181904,13,0.03333333333333333,equal_weight
ENGI.PA,Utilities,Utilities,1.659637915547443,1.0,0.5551279360557289,0.19744788889850048,2.8115161886643234,141457990.4026344,-0.018986318303973317,1.8439161313818022,0.521459494615941,1282,1.659637915547443,14,0.03333333333333333,equal_weight
ROST,Consumer Discretionary,Consumer Discretionary,1.6131103976502148,2.0,0.6328663184163381,0.2441008907645236,2.5926423964869683,525264350.3547905,-0.015696348847201003,1.74560585072937,3.9490840415247255,1254,1.6131103976502148,15,0.03333333333333333,equal_weight
HSBA.L,Financials,Financials,1.6080628776197494,2.0,0.583757776868224,0.24505743197581395,2.3821263944602107,32173557925.691677,-0.022782272884403897,2.130185300447769,28.122705296381902,1258,1.6080628776197494,16,0.03333333333333333,equal_weight
NVDA,Information Technology,Information Technology,1.5414033237325155,3.0,0.9865763284893221,0.33428058184348763,2.951342022466754,32113039352.24751,-0.033590176196318766,2.6018238845327786,5.499774360835764,1254,1.5414033237325155,17,0.03333333333333333,equal_weight
NKTR,Health Care,Health Care,1.5326740378827532,3.0,7.136936629804435,1.357067881063597,5.259085952436577,91550640.29929326,-0.0796035288374761,6.861843270584076,6.197616821050854,1254,1.5326740378827532,18,0.03333333333333333,equal_weight
GSK.L,Health Care,Health Care,1.5147360365503542,4.0,0.4313692011599284,0.2510113930037004,1.718524390458919,19777804324.95885,-0.02204979424099145,1.9609242688745576,39.532233260511084,1261,1.5147360365503542,19,0.03333333333333333,equal_weight
CMI,Industrials,Industrials,1.4971301081462156,3.0,1.288163780741221,0.30643232818023947,4.203746348797572,539373196.6598735,-0.024768245118800547,2.6948726318432836,17.795590766449234,1254,1.4971301081462156,20,0.03333333333333333,equal_weight
TPR,Consumer Discretionary,Consumer Discretionary,1.479236712176614,3.0,1.170657642044814,0.39147029205454537,2.99041246757417,312647971.16456604,-0.03161801746817929,3.2619760385509107,4.767051762828779,1254,1.479236712176614,21,0.03333333333333333,equal_weight
TSCO.L,Consumer Staples,Consumer Staples,1.473981756360356,2.0,0.34431810880347347,0.20958003798620076,1.6428955358150292,8382809913.600073,-0.019119403717688496,2.547049394130968,12.229657510460287,1261,1.473981756360356,22,0.03333333333333333,equal_weight
BWA,Consumer Discretionary,Consumer Discretionary,1.465911436165986,4.0,0.9783503930430546,0.34789642015560956,2.8121887330874262,167249008.34694353,-0.02667130742817622,2.8627077561519303,1.5873714726269723,1254,1.465911436165986,23,0.03333333333333333,equal_weight
STX,Information Technology,Information Technology,1.410201401341445,4.0,6.234151786171278,0.5992195832765713,10.403785123447625,1640301090.037792,-0.057048338987459715,4.553261461629025,27.004483854774687,1254,1.410201401341445,24,0.03333333333333333,equal_weight
RY.TO,Financials,Financials,1.4052998676219486,3.0,0.515042812857945,0.13472267946921695,3.822985223327807,823607812.8359171,-0.012003137844896858,1.2595412283503296,3.019750094969915,1253,1.4052998676219486,25,0.03333333333333333,equal_weight
RIO.L,Materials,Materials,1.3891334117184386,2.0,0.6155317923568471,0.24331816010135687,2.529740452173568,22386773637.169456,-0.021582519337775094,2.3382365785844144,171.79024142859691,1258,1.3891334117184386,26,0.03333333333333333,equal_weight
URW.PA,Real Estate,Real Estate,1.332070685786943,1.0,0.45272168489792564,0.1786707562126014,2.533832029899898,40989262.142262906,-0.012772185769752264,1.6641952723967397,1.7191137671730414,773,1.332070685786943,27,0.03333333333333333,equal_weight
VOD.L,Communication Services,Communication Services,1.3192865334859736,3.0,0.6147008424274167,0.22703594271691088,2.707504525809298,9687710332.695835,-0.01820325317103981,2.1653554387201788,2.4966548869257696,1261,1.3192865334859736,28,0.03333333333333333,equal_weight
WMT,Consumer Staples,Consumer Staples,1.296646955928512,3.0,0.35077900954844465,0.21608694921901217,1.623323439088943,2741040546.311213,-0.017482528218612348,1.9321043277974452,2.479276414941229,1254,1.296646955928512,29,0.03333333333333333,equal_weight
HLT,Consumer Discretionary,Consumer Discretionary,1.285613763520907,5.0,0.5270018577835303,0.22743435025020728,2.3171603462878845,571794959.2746806,-0.023185421588914172,2.0101370688162876,6.718481345944931,1254,1.285613763520907,30,0.03333333333333333,equal_weight
